cid,text,time,author,channel,votes,photo,heart,video_id
UgjkOEOSdZSswXgCoAEC,"я верил в них!Наконец я вижк прежний нави,жалко только,что марик ушёл.",قبل 6 سنوات,FRAID,UC4HCeoLcNBjmfqhXDzchFTA,0,,False,OmkUK2yr32g
UgyAPTo2VTrLXrZWelV4AaABAg,I support you. Nitumoni da,قبل 3 سنوات,DhrubaJyoti..,UCkqZDuaPQhjIeShh35ZBzBQ,14,,False,sgOY5dvmxg0
UgxP-T_-FimcrPuDkRp4AaABAg,genialne...,قبل 12 سنة,Milosz Filus,UCLPruPqqTrDugDPkUw3s1IA,0,,False,P--pcRTt0gc
UgxxN8NC4TB8DjTaBnl4AaABAg,Volví a escuchar ésta masterpiece y se me vienen las lágrimas. Es un sentimiento difícil de explicar.,قبل سنتين,Manuel Monge,UCgpUkB2OV8j4fjyMwYKC6Lw,1,,False,xPdYAbPYTGA
UgyudgOILPS6-oMSPGB4AaABAg,wtf,قبل سنة واحدة,Ra¥,UCCPR_bmMm6b-JIutT5AFLBQ,0,,False,HoIVQ3VT5Ro
UgzO7U5fVWra-VhjLwd4AaABAg,that like fs flip footplant thing was sick bremme.,قبل 12 سنة,Jake Witsen,UC1XXkjkx3Gl5EkM_XFzhw-A,0,,False,s8n7aMapAXw
UgjgF3l4nAcvW3gCoAEC.7-H0Z7-UGr_7-Q5T3jyVg2,是的，我們是一個很小的開發團隊，未來如果成績更好的話才有經費製作android版>﹏<,قبل 8 سنوات,Version00Ltd,UCET7gXo9BM_Bz18cZEll6Kg,0,,False,GKBJu9Kb8tg
Ughtc__n-PSRsngCoAEC,So... Dendi is secretly ice frog... xD,قبل 8 سنوات,Frost Yap,UCjwBbswF2ksjyChqLOH38SA,2,,False,9xPvl0-DI-Q
UgySH88ZnJtFh2qOXpN4AaABAg,"サムネがフラグなのはぶたまるさんだからですねww
1級フラグ建築士の称号貰えるんじゃないですか？",قبل 3 سنوات,森本涼介,UCXpRG6C1LvFV7-UeRkCDt0w,0,,True,myO6b85wgQw
Ugy0-0MYoaublAgGd7t4AaABAg,"Chilled playing with SeaNanners?
Damn Chilled you're moving up the world, THIS CHILLADIN IS HAPPY FOR YOU.",قبل 9 سنوات,ThatScootsy,UCpnt_S1wYYZT4p75uq-hblQ,0,,False,35zQiiFVPPE
Ugx2DsK1FpQttqW7M7d4AaABAg,👍👍👍,قبل 3 سنوات,Emir Zayan,UCKPikMN4se8YZ7K7eEtBkYA,0,,True,KddhnVFTxpg
UgzsNSCUb940i0jndV14AaABAg,"Thanks for the video it made locating the screws easier and fortunately they came out with not too much trouble. However the design of the beast is appalling no thought whatsoever about where all the detritus ends up, on taking the cover off the motor housing was full of old grass cuttings as were all the small pockets from the design for the mouldings. It had clearly been designed for ease of manufacture and nothing else.
This is not the only issues I have had over the last few years with Bosch and your comment re their unhelpfulness echos my experience. I have bought Bosch and Bosch ""Blue"" tools for many years but never again.",قبل 10 أشهر,Peter Haslam-Brunt,UC2WO3Kr3vOBhgvThSAfc6HA,0,,False,A6QfgHFkD8Q
Ugif7RWdHzNQy3gCoAEC,haha lalapitan tpos ssampalin sabay alis! 😂😂😂 ikw n nga tlg mayor!,قبل 5 سنوات,Liagellechim B,UCh104s2Lb7lim_3LVtF-g5Q,2,,False,bGmSxKvkpTY
UgyMAqRTKzy1DBoabvh4AaABAg,Nah Boys get the best smell!,قبل 12 سنة,Rocker One,UCL2Gz9Oojcfk56kkvVSPEmg,0,,False,J5d_9Cm5sSI
Ugwofu0JRs7kblWu9714AaABAg,Virat is so lucky,قبل 4 سنوات,shaista romansa,UCMT2v1Fss6N1GA6oAZyT-Jw,2,,False,6rPUrVwDwuM
UgzTEqczQGNNhQmxRjp4AaABAg,"ഒടിയൻ ചരിത്രം ആകും.....😘
എന്നാൽ രണ്ടാംമുഴം മഹാചരിത്രം ആകും....😘😍😍😍😍
Support ചെയ്താൽ👍👍👍👍",قبل 4 سنوات (تم تعديله),Sreejith Ps,UC7Y-f3RK8LEbmtitgDx-cZg,10,,False,Id3Zrk17V3k
UghgiTDNdf39cngCoAEC,0:31 the discussion actually starts,قبل 4 سنوات,JtotheP Moreno,UCxlSVs1Z7kyTdZDYTUb8aSw,0,,False,e2gctTww6Ds
UgjQqZfuR7-j23gCoAEC,와.. 혼자서 어제 삼국지 깔았는데 저한텐 하도 어려워서 못하겠던데요 ㅠㅠ 대도님 보니까 깔끔하게 진행해서 재밌네요^^!,قبل 6 سنوات,ᄋᄋ,UCTkck8wAij-AA2aPBWjHNMw,1,,False,YmsFSzOukCk
UghCG-ZQi6BJi3gCoAEC,.kailangan maimbestigahan kung sino ang nagbigay ng ID sa LTO!! dami parin tlaga korakot jan,قبل 4 سنوات,Enel Rahc,UCGASSxhkql8zGJyjj80X1mw,0,,False,NLKrKnUGS7k
UggPwtxcahLIiHgCoAEC,u dps now? in 7.2,قبل 4 سنوات,wiz,UCRoxIqDusk0EdeZq26RG9AQ,0,,False,Y2oc1dB987Y
UgwuVVvtaPl4VZHHx1B4AaABAg,ينفع نبدل القش بالكارتون علشان القش بيسد الموتور ؟؟؟؟؟؟,قبل 3 سنوات,Dama Demo,UCEjn-sluQrHrFwvF6r9cKEg,1,,False,mwFxVLAmjOI
Ugz5QtGsAEWjc5uCbMF4AaABAg,"Lars, before you think about opening up the carburetor, try adjusting the fuel idle mixture. I've found that the ""idle circuit"" of a carburetor also controls your low-speed fuel mixture, up to about 2,000 rpm. Try enriching the idle mixture just a tiny amount, and if there is nothing wrong with the carburetor, that should solve your low-speed performance trouble.",قبل 3 سنوات,Kevin S,UCfhMZQue71zCy3uF0BnDV4w,2,,False,9BgK4vw_EUc
Ugi5VwP4uZYXJHgCoAEC,gennnte muito bom!!! que delicia voltar ao tempo S2,قبل 5 سنوات,Natália Fernandez,UCcN0I4HHTi_JrB4CrXyFK3Q,21,,False,DKh4B-1HxO8
UgwSieHw7r4bQIr3eBt4AaABAg,Titu byka number denekely Bola lacking q nehiderai,قبل 3 سنوات,Jahid Alalam,UC6IneP0wvrZvNSS_jgL2wtg,0,,True,L59_AWBEVms
UgiBOn4zhdmNGXgCoAEC,Wär auch zu schön gewesen um war zu sein! :(,قبل 7 سنوات,vRezzYi,UCKhSF2EeBh7EpKTkUXNQfiw,1,,False,gVQESBGBcrE
UgjuwUNLtVE7RngCoAEC,I mean she's under the same label as EXID so I'm a little surprised that it wasn't higher budget but DAMN she's looking so perfect.,قبل 5 سنوات,Ian M,UCYbJN8ob6HESWmFCll0lxew,6,,False,GKFA8v8KpUk
UgjokGLUviwurXgCoAEC.8Lw9f3TO7NG8SYJ3kiKMlE,"of course it is, even - not sure if Hummel himself, but at least copyist - wrote in piano part titles: La Clemenza di Tito, Zauberflote, Zephir, La Tempesta di Mare, Zauberflote [again], but I'm almost sure there are more. here you have a link: http://imslp.org/wiki/Serenade_No.2,_Op.66_(Hummel,_Johann_Nepomuk)",قبل 4 سنوات,Piotr Zabielski,UCKocyM5erfOgsQ7g4MbVppQ,2,,False,OO1YgzB72qU
UghVQ0bqxgvj83gCoAEC,13:20 yeah!!!!,قبل 7 سنوات,VJ Kammi,UCcD8Dln_NVpVBuzuk33IDlg,0,,False,1RIQ8mLjQE8
UgyVRNwB9QgqDnU-00F4AaABAg,классно,قبل 3 سنوات,Просто Мария,UCZdVh-hIk-dtFvZTRpABWQw,1,,True,0lZbpCm7Cq8
UggUkVAz1wTfF3gCoAEC,"Gratidão Robson, gratidão Pai João de Aruanda e Ângelo Inácio... vcs compoem um pedaço de minha alma... Salve a força dom bem, salve a felicidade e salve o Amor maior!",قبل 6 سنوات,Louise,UCeXIguLlpvRzYT6QV5-TAHQ,0,,False,x3m2UG8bVOU
UgjW20I8Xj1KOHgCoAEC.8FmxIKkjhTh8FnGDe7Kab3,ありがとうございます,قبل 5 سنوات,on TV,UC9Ar7XI08UwrclLtTiq5NuA,1,,False,Lh3Z0TPOTQ4
UgzRzoDn4wHHcRy2n3F4AaABAg,今日呢段片係頂峰之作！投資、財富管理，心態係最最最重要,قبل 3 سنوات,2016 JasonChongCoin,UCDPrwcOqMgm6FCdDw-FKNgw,5,,False,HXPqnOsY4s8
UgiBs-EtwMZL2HgCoAEC,هل يمكن  حفظها في الثلاجه وكم المدة اذا ممكن,قبل 5 سنوات,فاطمه حسن,UCjwdF8nYao6wmJPidmV7hIg,0,,False,iC5eQIH2EqI
UggFYqIVoWVknngCoAEC.8OV7Q3LSkfa8f1vUfljrHm,Sadie Lilley Tyler Farr,قبل 3 سنوات,Katie Romine,UCjLRMNpxGFz25ZA8Cui3ggA,0,,False,0ihQCSEyKyk
UgjUFBw0Wd51M3gCoAEC,"I like this collection of most expensive jewellery pieces in the world, I would probably in the same order they are placed in the top.",قبل 5 سنوات,Юрий Раев,UCK9Wr52C7irCXEfmdR4E5Ag,1,,False,hQPYwbpq0bQ
Ugykh1PeKKGrtJAp9OJ4AaABAg,Yo lei un par de opiniones de este juego. Un tipo le puso 0 solo porque sasel hablo bien del juego. Tan hater es que me dio risa,قبل 3 سنوات,jorge carrillo estrada,UCmudyAnVJYw36m1pbctaP4Q,24,,True,JsRRBNrwYb4
UgidJO06UO7563gCoAEC.8QNT1yGYbNd8QNWbmqCs7a,harambe lol,قبل 5 سنوات,apples,UChr03iI2y982MfuUynp3rYQ,1,,False,iLHLmk5O0zE
UgxEfz9r3M9LWpkBMax4AaABAg,Como pongo estrellatv,قبل 4 سنوات,Miguel Tomas,UC_1MiOAMHK3wJ6w0Ejox8oA,0,,False,HgCfswZOqgk
UgicndiPm-JcN3gCoAEC,yıl 2016 hala izliyorum ustayı,قبل 5 سنوات,Mehmet Durmus,UCuFkZAc3ygRY64MBzbpHqqw,1,,False,nO2c1Z1G_HQ
UghZxuQFiKfi4ngCoAEC,"Disse, pois, Abrão a Ló: Ora, não haja contenda entre mim e ti, e entre os meus pastores e os teus pastores, porque somos irmãos. Gênesis, 13.8",قبل 5 سنوات,Oportunidades,UCQr-93B_eEL6OrqaRgaSXgg,0,,False,nrUDRVS7hFM
UgwabEskVxNZ24_CIf94AaABAg,👍,قبل 3 سنوات,Adrian Werner,UCT1n8o5j8KOAAmyOiKQnktg,0,,False,67zX9E8RCOo
UgzYH4ojIUmGoffthb14AaABAg.8mQ_dhbNFaQ8mQgyFP0121,وانا احبك كمان❤️❤️❤️,قبل 3 سنوات,。エマ 。,UC2JxUKhMz0Pk2dqZMJdivJA,0,,True,Bjx4rpClsvE
UghA40x50pweCHgCoAEC,First!!!!!,قبل 5 سنوات,BYG86,UCVHhU1sqaf5eEDsZDfgmeWQ,2,,True,-rQzw32bKkc
UgxBJhIsmMV4KAbcMHB4AaABAg,The amount of love she has for Stormi is so cute,قبل 3 سنوات,Ishan Ali,UCV1rsE_Sz9wldKrYEj2uzug,558,,True,gdLQezgZdaE
Ugx8wabkTwGSHp8V2dJ4AaABAg,"theres a lot we got bernabe,donaire,penalosa, milan milendo,amonsot,viloria,z gorres,aj banal,boom boom bautista,donnie nietes,bert batawang....
theres more coming when manny's gone yaddamean?",قبل 13 سنة,Yonipzz,UCcpSqpCSMO6WgEAJ5C8yizg,0,,False,OwkImmc9ATw
Ugg6p1lZsOGHN3gCoAEC,Just to let everyone know I made this video when I just started lifting so my form isn't the best ! I'll be re-doing this video with more informative information and better technique. Thank you for watching 👊🏾,قبل 5 سنوات,MRLONDON,UCF9-EnEmbqDZGALBOaVpsbQ,5,,False,rnrZ505l22Q
UgirAdjtdNAbo3gCoAEC,buen vídeo Bro LIKE,قبل 5 سنوات,Pain XsX,UCyku16MrZN_eo-LRdKcuUbw,0,,False,O0lfPt6ursw
Ugxn3Pmtu3UcnN33gYd4AaABAg,Can you react to bokuno pico,قبل 3 سنوات,Eduardo Salgado,UCbIedb5nly7pQoC4fiCXcYA,0,,False,ZUsbIs0f4FM
UgyqgHfpZ1KepC9Yt5V4AaABAg,That 1st rig had a strange looking pinion angle. Anyone else notice that?,قبل 3 سنوات,Caleb Downey,UCWvrNyKIjfIUEOk0t8qkrnQ,0,,False,_Iy1aEmSP4g
UgyPcpQX770Gj08vhTB4AaABAg.8p1BSQGF2mS8pzc5E__TO4,"អរគុណចំពោះការបញ្ចេញមតិ 📡 Best Solution 🎥 ឯកទេសថតផ្សាយផ្ទាល់គ្រប់កម្មវិធី...
សូមអរគុណ សំរាប់ការ ជ្រើសរើសយក សេវាកម្មរបស់ខ្ញុំ
☎️070845083☎️011929209☎️090477444",قبل 3 سنوات,Best Solution,UCnvgR5T8ODDjLFxN6nI1mhg,0,,False,BXgR_B0z3Co
UgwkHE0Hou2yox2j2GR4AaABAg,I shree khodiyar maa,قبل سنتين,nilesh gangani,UCRqJB64U6UJ1KB3OpwYT2Fg,1,,False,Y1DGbXa8Oac
UgyJ04Pqb375_h2S5NB4AaABAg,Wish I could come bash with ya'll. Great fun there!,قبل 3 سنوات,NitroStar,UCzQgfWTeClL_4aFs-yqCDBg,0,,False,Xnmx7plbg1I
Ugwhnxs_Zm9iZz9yF2p4AaABAg,"Sanjay Narvekar yaani marlela dagad, khara vaatat naahi. ",قبل 10 سنوات,Virendra Upadhye,UC67ifOYf3vH8SET9kCtMQ6Q,0,,False,aaYpq-F3h60
UgzTCCz0hayyrX7Q_et4AaABAg,JSJSJS antes vs ahora,قبل سنة واحدة,estebaan,UCXVhGX8uuwASSe8gGlBgXNw,0,,False,4A3pGXyKCbo
Uggy5R38vtHcQ3gCoAEC,"Игра прикольная, но я не фанат таких )) Лайк в копилку ))",قبل 6 سنوات,Vlad Z,UCm9uXKdeJDS60z-u6HLGOsw,0,,False,hxa03VIBQAc
UgxMJgnWNcLTyjmQXZR4AaABAg.8iXeXD53WRG8iYoFPLmg1E,zadzwoń do mnie na skype to ci powiem co i jak,قبل 3 سنوات,Kasane,UChEkA7UAZJ0iuc-5RGRvFmA,0,,False,cMxYlpxSxKw
Ugx6bzQ2wO0nWrbaG3V4AaABAg,"TK mandando bem DEMAIS!
Que rap FODA!",قبل 4 سنوات,Felpsqn,UC371oynWk8k7mHBkcnyvxOw,4,,True,HfJqlMdZmwo
UgzVzSsCOIThmlrLWQl4AaABAg,Prayers for the people of Taiwan.,قبل 4 سنوات,Divine Kate,UCb2Qk-PcECjZgJkZQsD-crg,9,,False,O-W_82zW6DA
UggmIG0an3vkkngCoAEC,Dicas preciosas q VC nos deixou!😍Muito obrigada! Que Deus nos Abençoe nessa nossa jornada como artesãs!👏👏👏💖💖,قبل 6 سنوات,Ro,UCH_6JJ7QgyDyGDJiSOxwLNg,1,,False,lD9izYeUnSQ
UgysaahBQMW4T3B9BVF4AaABAg,Grande João do Vale!,قبل 6 أشهر,ALVARO GUIMARÃES,UCk72GEovVC4lnFB9G11DjfA,1,,False,72RNddPt4GU
Ugyn7SR-E1jS9dd0A1t4AaABAg,Damn travis scott really be hearing this ? 😳,قبل 3 سنوات,350 luiZ,UCsJZ21vypWzqMin0CqAiW4g,7,,False,MsuF65wyPh4
Ugj5u4CQKJ9TQ3gCoAEC,Ta faltando mais o quadro do gravetão,قبل 6 سنوات,Jackson Antunes,UCYZBB_tHy6L5oJv03gGlDVA,0,,False,dmQVNdxoSfQ
UgywV4-GXI1xOVWeqyZ4AaABAg,I love the Original........ and i love this also 🔥♥️,قبل سنتين,Hades,UCcAVe49r1cbDgHGbBgImwxg,0,,False,YfjoX7UT82Q
UgwR_OyyGFKN6PUbH7N4AaABAg,dankeeeeeeee,قبل 12 سنة,Sibylle Hutzler,UCoXzGSZyMq1Thj0KxhtoMjg,0,,False,iZBi8MGZsRU
UgwzAc4PLFL3h6w2KCZ4AaABAg,Love this!! Always love Illenium remixes,قبل 4 سنوات,M. _Davenport,UChXeGK0uvsa_UiJbXR-ed1g,2,,False,PJRj2rIQEF4
UgzM0bt0Z-zX2GDh3-t4AaABAg,ilaahay ha.unaxriista waa Ramadaan kheyr badan baan urajeyneynaa,قبل 3 سنوات,Geeska Africa,UCvDzcn7K1P791xqnb_Vir6Q,1,,True,ECNiWhMs7BE
UgyO26cGkyaGAEXIRDJ4AaABAg,"Szolzsenyicin ""irodalmi hangjáról és irodalmi szerepéről"".... https://youtu.be/NcHQtqCWZNE",قبل سنتين,Csaba Nagy,UC-Han3_6NROdbuj2bO5F_GQ,1,,False,QYJ_l155vGg
UgwAORNGdBeYM5fIprh4AaABAg,"Wa allaikum assalam, yar ap face cam videos apnay mobile say record krtay ho?",قبل 3 سنوات,Essa Amir,UCog6wJuR1fi_OydH0On7UfQ,0,,False,MLZCC6RjkEA
UgzbdyGRDHwDkfZNc7V4AaABAg,"Carambaaaa que Rap massa!! muito bom, Deus abençoe vocês.",قبل 4 سنوات,Ciências Contábeis,UCCSYD8bMWz8NnsWPguzztHg,2,,True,rY3fD5lsKjQ
UgwZoBK3Ll6zDfN7l694AaABAg,"Akufo-Addo un homme sincère et honnête, dixit M. le Professeur. Savez-vous au moins qu'Albert Kan-Dapaah (ministre ghanéen de la sécurité) qui dirige la médiation ghanéenne est l'ami personnel de Faure Gnassingbe et du ministre togolais de la sécurité? Pourquoi les marches de soutien à la lutte du peuple togolais étaient-elles réprimées au Ghana? La C14 a commis une erreur en acceptant de surseoir aux marches.",قبل 4 سنوات (تم تعديله),Togbuiwo Nyigba,UCEkAWSKiLorMswVlNcNGeBQ,0,,False,Ue-BxCKDWKc
Ugw-9CUpT5STIObPzQF4AaABAg.8lCL1Mt_FOc8lCQnINtrGX," @cheese mar , I will see what I can do.",قبل 3 سنوات,Misaki Mirai The Gamerwoman,UCSOQczJ4nSHsLva23koa2Ww,0,,False,6yeEdmfrjTs
UgiKCBB0ZFRUl3gCoAEC,los movimientos del tuqu jajajaja parece que se está meando,قبل 5 سنوات,Nicolás Iemma,UC-crM4oMK0FXHTvAMEsbhdg,1,,False,yC6JJPEifiA
Ugg1Mz-FpkNpXHgCoAEC,ان شاء الله صحراوي,قبل 6 سنوات,ولد صحار,UCinULzKkVibE-iPVHvRvIUw,0,,False,pAHW0EMnFEM
UgyXfyZpj7h9KEK6VO14AaABAg,"Благодарю Вас, Учитель! Мне полегчало🙏🏽🙌🏼",قبل 8 أشهر,Маргарита Шеремет,UCp57Y_Jrnt6N2-lNg09CScw,2,,False,szktnuJz4NY
UgxhKFRywSvdZUakYcp4AaABAg,Beautiful! ,قبل 10 سنوات,Bob Fisher,UCQ8XsWK4mjiPltBqzYfb3Lg,0,,False,l9ta5cmm-Z0
UgzAt8XocUAOVZ7nkP94AaABAg,very good musician!!,قبل 13 سنة,Brian Gaze,UCEQetg22U98n3Vae_E0rGSA,0,,False,V_M_9NKMsbE
UgjSIXQC6ToxrXgCoAEC,Как это мелодия называется? Прямо душу греет.,قبل 6 سنوات,Asel Malikova,UCThRqotCaD1lBMH-jXSg1yw,1,,False,EykhYi3M7yM
UgzN3miMLVHiTtBhR1Z4AaABAg,"تبارك الله عليك , وعلى كل أمهاتنا ",قبل 10 سنوات,said benali,UC76sxy-sD00Yp_trDnOpVhQ,0,,False,RtB7-CBieXQ
UgzWmNd1PydlHwM9j_F4AaABAg,Wow,قبل 3 سنوات,aventure alfredo 50,UCW3-26xRWNl667OIDdvqXdw,3,,True,WAIqFPHkf_k
UgyVcPaKt7Z8ikgPnaF4AaABAg,"いつもカンタくんありがとう
僕は何もできないけど〜
にしか聞こえなくなってしまったわれは重症。",قبل سنتين,ひろまる,UCNAg8YG5v3a4drgZwMSbpPA,5,,False,p8pVg3WywGI
Ugz7S1VQfA15mD8gCc94AaABAg,Me A Gustado Mucho Amigo Gracias A Hora Si Estoy Informado,قبل 3 سنوات,Valla TottiYD,UCi-pr4ENRPqVilCeyrA6edg,0,,False,l4Rdb2WGZKY
UgyI6T9gkxRnHJ7Tzbt4AaABAg,I love your voice sm you are going to be big one day xx,قبل 4 سنوات,Niamh Boyle,UCTm6G1q7wh9rAM6H44eJ19A,1,,False,JLyofesO334
UggjmRyW2d4pK3gCoAEC,İsteğimi yerine getirdiğiniz için teşekkürler <3 galp,قبل 6 سنوات,Sercan Durmaz,UCf-P8-ta1283AdB2n6OH8HQ,0,,False,jO7XwyA3R50
UgigWWwSfPECfXgCoAEC,ყველაზე ძლიერი,قبل 5 سنوات,MURZILA BATUMSKI,UCT-1rNdjCWlXGb6XjA4mhxA,5,,False,F5l21QeLNyI
UgwfMmPp9wqfBipFQSR4AaABAg,Joos song,قبل 3 سنوات,tanvir ea sat,UC8tyzGN_OcjhCsLAnEFA5-Q,1,,False,vDRsKL9zE_8
Ugy1yMnArsl26byXqQF4AaABAg,Com o curso da V4 poderia me tornar consultor em MKT digital?,قبل 3 سنوات,Mystery Mentalista,UCS9Cu0MKIYE1sFStk-VM5WA,0,,False,5Im45RyWox0
UgxjWxfzjbEJt3pfVYx4AaABAg,Кыздын жанары жаркылдап тур. Болашагы зор. Ондай жанар екинин биринде жок.,قبل سنة واحدة,Жалгасбек Балабай,UCp918IFrAUna7wJbDy9joLw,4,,False,6li9BdCSNlY
Ugx33V8F-YfVwTA5gBt4AaABAg,Pfvv alguém me ajuda a minha skin tá bugada só com a cabeça :(,قبل 3 سنوات,Sr_Pauliih_ BR,UCrmxcnHmJqXxYAsotnB2_CQ,1,,False,CjNiuhxjwI8
UgyJ_eZg6b8xL1RXdep4AaABAg,Jay Ho MA Shakti bhavani,قبل سنتين,Hindrajsinh Vaghela,UCCfxliixubr5oiL3iKFpsBw,2,,True,gGMK3LLyacY
UgzcKRJT7fTmmX0EyBd4AaABAg,Vouch?,قبل 4 سنوات,Kazuin,UCMhS_CAtpA294q-DWQHgkZg,0,,False,9LLLcJOvziQ
UgxPoUDbCIxDMdBy4q94AaABAg,"Τελικα εγινε αυτο που λεγανε..
.Μετά το σύμφωνο συμβίωσης έγινε και η υιοθεσία. 
Έτσι λέγανε ότι θα ακολουθήσει και έτσι έγινε....",قبل 3 سنوات,desertdragon Remal DD Rogue,UCnsFlu5NMNaXIyrCG02iQOQ,2,,False,RgQy6KSI19Y
Ugyv60tEIucguLnMU8d4AaABAg,la doña luisa ortega no sabia nada pobresita y esta noticia es de hace dos años,قبل 4 سنوات (تم تعديله),adriana barrios,UCeqOqSoMsWHC7kNIdvXZGDw,0,,False,E6q4Nxhc4WE
UggEqw8ihL9sMngCoAEC,i znów 2h świetnego gameplayu <3,قبل 4 سنوات,Michał Mamla,UCwAtR7LYqf4-Oze2HhwnXaw,11,,False,HdX35ic_aDc
Ugy42hLCiQxrg5vGdyJ4AaABAg,Keep it up dude 👍👍👍👍👍👍,قبل 3 سنوات,Karen the slimer Karen loves to play with slime,UCCx4MAa071oO_k7DE8hPsjw,0,,True,yszsk7-Fy5s
UghPeCe1ZOb3-HgCoAEC,hab das auch gehört n kumpel hohlt sich des nacher ab bei mediamarkt ich konnts auch nicht glauben,قبل 6 سنوات,Max Richter,UCHBpxwxf6EgMc0woAMpjZig,0,,False,Tl9uuTWrnZo
UgxKvVVPtDzbmHd6wBp4AaABAg,Remember XXX,قبل 9 سنوات,Hercules Gomez,UCFWhr3ony08kLc7afjJFdjg,0,,False,VORCqlA6uh8
UgxB3R4pWE84lmKKcCl4AaABAg,"Yo soy Valenciano y de Sueca,y digo una cosa me gustan los toros y que no les hagan daño y hay un refran para toda la gente que dice a si,Si no ,quieres polvo no vayas a la era,OK.Ole Raton el mejor de todos,Dios lo tiene en el Cielo.",قبل شهرين,J.A. R.V.,UCS4RHLQdrLpjDLknqMtbU5g,0,,False,TvIfaz92qMU
Ugg-wjfYEyAS1XgCoAEC.84NxrgS4M6k7-HL375Af1W,+TRo0oK07 Earth,قبل 6 سنوات,Get The Bacon,UCyH077u3rjpkEN3Xvt4op8A,0,,False,C4IwdpLq7Wg
Ugxd0OMziwz7OJQyOUB4AaABAg,"Claire I love your hair in this video! It's so gorgeous!! Could you do a tutorial on this curled hair?? :) 

xx",قبل 8 سنوات,amanda,UC7WdVzoFC-XCTpJRN4LxsqA,1,,False,hIvdY8uPmYI
Ugzb60a8WESHljqFbk54AaABAg,She is the best!!!,قبل 13 سنة,Mariana Sánchez T.,UCqnpqveH-QGB7lFc4SPBbtw,4,,False,RjkKEgjh3ro
UgzUIQP5w7FOA0XtG454AaABAg,Ajju bhai,قبل سنتين,Mohammed Saleemuddin,UCS7d4bwuyBVK2Kb-vyEHciA,0,,False,qIYXzGfHuDs
UgyFBZdBZY8xOMVkV7R4AaABAg,"Glad to hear there's a Filipino version of ""TheAtheistExperience"" I've been listening that show ever since I started to question my believes because it conflict science & Laws of Physics yet i didn't even know what Atheist mean back then :D

Please Guys Have Caller Debate with a Theist I'm sure many will start to question their believes
",قبل 8 سنوات,AronKnight,UC-sdTCteT03ijJ9hlg6UoXQ,0,,False,oZxf7YcsSEI
UgzXVzxSYw5Pg7sUPv94AaABAg,59861093,قبل سنتين,Ana Rejano,UC_vR3JgTwkusJUGPlVqsG8A,0,,False,heXyx0eaN4Y
UgiZhFUlO0ARC3gCoAEC,W Polsce polybagi też są sprzedawane luzem,قبل 6 سنوات,Me,UCd9BFdsq_MDnbj_PMjSMLfg,0,,False,minfhx9SwKM
UgjIkzsK4aO8rHgCoAEC,Great show as always. I loved the new camera - beautiful focusing and a sharp image. I checked out the pattern on Amazon UK. £39.99!!!! That seems a bit of a rip off. I'll investigate the Craftsy class. It might be worth checking out when they have a sale. :-),قبل 4 سنوات,Mairead,UCmWh5tYq3yVRJaNo92Jbduw,0,,False,DDppdD-d22g
UgzKRp_VWUkwUWyDLI54AaABAg,"うぽちまる。
思ったより簡素なパーティーだったw
編集お疲れ様です！",قبل 3 سنوات,らいこねん,UCsjxGbJaAMkvfx9Kwia7hCQ,0,,True,CN0uHODWaOM
UgzwGir0ZTvyNZ6_OcZ4AaABAg,"Te lo do io un consiglio: se usi ancora quel sacco, compra un elastico da portapacchi e avvolgendolo 3 o 4 volte, lo piazzi in mezzo, tra sbarra e moschettone. Il sacco farà meno rumore, non disturbando i vicini e avrai anche meno problemi di rotture varie. È una mia pensata... (chissà perché nelle palestre gli piace far casino) ciao",قبل سنتين (تم تعديله),Ivan,UC-MNagCD7UAQ08UGjC64flA,3,,False,2Bm3-8JgEow
UghP3_xR81K-q3gCoAEC,What's the first song played?,قبل 5 سنوات,THINKTHATIMKOBE,UCuk7y0siSmkI28AuhtZVNsA,0,,False,WKtppXchA3I
UgykleOiVx3BrXHRn7B4AaABAg,"No entiendo como ésta película puede exitarles, la película da a entender lo asqueroso de la mente humana",قبل 3 سنوات,AlexDavidPSG10,UCsLadtAfH7qq56TvDWUlZ9g,9,,False,KvSNFUsYOFc
UgxpxMRAPpLV-CVdM8x4AaABAg,"You guys never cease to amaze me. The ideas you come up with, the things you film, the stories you tell: they're all so god damn real. Yes, that's the word. Real. You show us life and what it means to be alive. Y'all are fucking awesome.",قبل 4 سنوات,Honey Yummm,UCFTgVBUi62mr6GY3cMAWGnw,22,,True,QeTgfqcXN7o
UghqmSzS5585_XgCoAEC,Ou sont Les Combo,قبل 5 سنوات,Fulmes Noah,UCUf5Niril-ORpUd4hKUpjDw,0,,False,mi_z3pgRuSk
Ugg8VktQBdGcWHgCoAEC,"No dejes el server, es dejar a personas que estaban con vos..",قبل 5 سنوات,VLAD AND NIKI CUTE FC,UCWs7GpEHHfXzjk_Ale2J56g,0,,False,_Thc1uIJNTA
UgxeTNrZN3mHOHR_y2B4AaABAg,C BIEN C VOTRE VIE,قبل 9 سنوات,Foucault Thierry,UCHz8IWE3ct29NCWl7fnkgsQ,0,,False,TwXTTDoWCEM
Ugi3D19QJpaRF3gCoAEC.7-H0Z7-Bjdd94mX8bSLW2R,"That's a good point, that posture does not look good at all.",قبل سنتين,Bally,UCyY0lASTwxjW3LT8UCrmHJA,0,,False,AESuU9knB2g
